"SEXEQ" "AGER" "FAMIQ" "RELAT" "PCSPQ" "IMPNBS" "REJETS" "OPGNB" "MOYRV" "TAVEP" "ENDET" "GAGET" "GAGEC" "GAGEM" "KVUNB" "QSMOY" "QCRED" "DMVTP" "BOPPN" "FACAN" "LGAGT" "VIENB" "VIEMT" "UEMNB" "UEMMTS" "XLGNB" "XLGMT" "YLVNB" "YLVMT" "NBELTS" "MTELTS" "NBCATS" "MTCATS" "NBBECS" "MTBECS" "ROCNB" "NTCAS" "NPTAG" "ITAVC" "HAVEF" "JNBJD" "CARVP"
"131747" "Shom" 58 "Fmar" 786 "Pcad" 0 0 2 41 352969 0 0 0 0 1 20537 41 14 29 151900 0 0 0 3 352969 1 101901 2 251068 0 0 0 0 0 0 13 1 0 526839 164797 1 "Coui"
"158515" "Shom" 33 "Fcel" 153 "Pcad" 0 0 0 50 28239 0 0 0 0 1 17608 50 14 36 0 0 0 0 3 28239 1 27414 2 825 0 0 0 0 0 0 16 2 0 39994 0 10 "Coui"
"458435" "Shom" 35 "Fcel" 110 "Pint" 0 0 1 3 0 0 0 0 0 1 5000 3 26 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 10000 0 0 "Coui"
"545144" "Shom" 46 "Fmar" 235 "Pcad" 0 0 7 60 12243 14 459921 1186 17781 2 13368 57 14 70 0 440954 0 0 1 12243 0 0 1 12243 0 0 0 0 0 0 10 1 0 47129 0 55 "Coui"
"552080" "Sfem" 43 "Fdiv" 145 "Part" 0 0 0 30 14718 28 166617 0 0 1 9517 10 14 16 0 166617 1 40380 2 14718 1 2000 1 12718 0 0 0 0 0 0 6 2 0 62505 40380 6 "Coui"
"552539" "Shom" 34 "Fmar" 139 "Pouv" 0 0 0 45 848 10 723753 8153 0 2 -13406 45 14 44 192000 715600 0 0 1 848 0 0 0 0 1 848 0 0 0 0 14 1 0 848 0 68 "Coui"
"646307" "Shom" 31 "Fcel" 92 "Part" 0 0 1 60 318167 21 240171 0 240171 1 5452 9 14 18 0 0 0 0 3 318167 2 249355 1 68812 0 0 0 0 0 0 1 1 0 363410 0 1 "Coui"
"807218" "Shom" 28 "Fmar" 119 "Part" 0 -51 17 500 0 2 507440 96391 210301 1 3636 12 15 36 0 200748 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2384 0 16 "Coui"
"843602" "Shom" 47 "Fmar" 227 "Pcad" 0 0 1 39 0 30 1256854 0 70000 1 -41576 39 14 49 0 1186854 0 0 1 0 1 0 0 0 0 0 0 0 0 0 18 3 1 8770 0 86 "Coui"
"860436" "Shom" 42 "Fdiv" 49 "Pcad" 0 0 0 22 257 21 70047 28692 41355 1 866 22 14 41 0 0 0 0 1 257 0 0 1 257 0 0 0 0 0 0 20 2 0 257 0 35 "Coui"
"1041135" "Shom" 60 "Finc" 264 "Pint" 0 0 1 18 0 0 0 0 0 1 41565 18 16 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 47689 4550 0 "Coui"
"1053848" "Shom" 34 "Fmar" 182 "Pouv" 0 0 4 41 0 12 741826 0 0 1 10590 41 15 60 15522 741826 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 2 0 32007 0 12 "Coui"
"1146168" "Sfem" 43 "Fmar" 176 "Pint" 0 0 4 111 607952 2 506379 0 0 2 35315 111 14 68 210220 506379 1 11756 4 607952 2 515464 1 34281 1 58207 0 0 0 0 30 2 0 922580 191280 50 "Coui"
"1163558" "Shom" 51 "Fdiv" 132 "Pint" 0 0 1 114 0 42 576929 0 0 1 192261 114 14 85 263500 576929 0 0 0 0 0 0 0 0 0 0 0 0 0 0 42 4 1 242557 58624 9 "Coui"
"1222222" "Shom" 49 "Fmar" 318 "Pcad" 0 0 1 37 75439 0 0 0 0 1 35867 37 14 29 85122 0 0 0 1 75439 1 75439 0 0 0 0 0 0 0 0 12 2 0 125034 2500 0 "Coui"
"1245931" "Shom" 62 "Fmar" 868 "Part" 0 0 1 104 0 10 150664 51314 99350 1 343 0 40 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 1 0 416 0 4 "Coui"
"1442268" "Shom" 62 "Finc" 246 "Pint" 0 0 5 52 81550 2 2565 2565 0 1 21417 52 14 68 116784 0 2 142784 3 81550 1 68642 2 12908 0 0 0 0 0 0 19 1 0 341725 238564 3 "Coui"
"1451001" "Shom" 47 "Fdiv" 203 "Pcad" 0 0 2 40 14686 17 274798 12523 0 1 -6456 40 15 39 0 262275 0 0 2 14686 2 14686 0 0 0 0 0 0 0 0 23 2 0 15286 600 53 "Coui"
"1452546" "Shom" 47 "Fdiv" 88 "Pint" 0 0 1 30 0 0 6751 6751 0 1 5268 30 15 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 2 0 0 0 14 "Coui"
"1644080" "Shom" 56 "Fmar" 228 "Pint" 0 0 1 52 373632 0 0 0 0 1 18937 46 14 12 0 0 1 7243 3 373632 1 138276 2 235356 0 0 0 0 0 0 2 1 0 413466 30545 0 "Coui"
"1949374" "Shom" 39 "Fdiv" 103 "Pcad" 0 0 23 60 33478 0 9680 9680 0 2 9197 60 14 75 0 0 2 44647 2 33478 1 3733 1 29745 0 0 0 0 0 0 4 1 0 92343 44647 6 "Coui"
"2231081" "Sfem" 64 "Fdiv" 844 "Pret" 0 0 1 41 105919 6 35479 0 35479 1 7595 41 14 31 0 0 1 19100 3 105919 1 29641 2 76278 0 0 0 0 0 0 11 1 0 131386 20100 31 "Coui"
"2241449" "Shom" 51 "Fmar" 870 "Pemp" 0 0 1 22 116894 55 323050 30025 106187 2 -7356 22 14 45 0 186838 1 49937 4 116894 2 13827 1 108 1 102959 0 0 0 0 16 1 0 167951 49937 85 "Coui"
"2243651" "Shom" 50 "Fmar" 226 "Part" 0 0 8 79 30765 10 105636 10350 53339 1 12551 10 15 21 0 41947 0 0 3 30765 1 0 1 29923 1 842 0 0 0 0 4 3 1 66069 0 0 "Coui"
"2244573" "Sfem" 46 "Fmar" 83 "Pcad" 0 0 26 76 259179 8 95606 0 95606 2 56651 76 14 79 0 0 4 128483 4 259179 2 145412 1 30444 1 83323 0 0 0 0 14 2 0 1095473 770248 0 "Coui"
"2344166" "Shom" 47 "Fmar" 161 "Part" 0 0 2 29 16878 14 108427 0 108427 1 34312 29 14 36 0 0 0 0 1 16878 1 16878 0 0 0 0 0 0 0 0 6 1 0 55324 1000 0 "Coui"
"2646853" "Shom" 33 "Fmar" 150 "Pcad" 0 0 1 26 580 0 9586 9586 0 2 9110 26 15 34 115000 0 0 0 1 580 0 0 1 580 0 0 0 0 0 0 20 2 0 800 0 7 "Coui"
"3252819" "Sfem" 59 "Fmar" 186 "Part" 0 0 13 81 100604 3 97707 0 97707 1 6044 2 16 2 99660 0 1 5818 3 100604 1 27451 1 7000 1 66153 0 0 0 0 5 2 0 126740 5818 0 "Coui"
"5002794" "Shom" 32 "Fcel" 28 "Pemp" 0 0 7 40 15315 3 40086 0 40086 1 -11472 40 14 31 0 0 0 0 1 15315 1 15315 0 0 0 0 0 0 0 0 3 3 0 17795 0 85 "Coui"
"5006282" "Shom" 30 "Fcel" 27 "Pcad" 0 0 2 93 0 0 60000 0 60000 1 45665 32 15 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 2 0 264783 0 26 "Coui"
"5028122" "Shom" 42 "Fmar" 18 "Pcad" 0 0 13 124 0 5 674032 44178 129677 2 6178 124 14 65 0 500177 1 7842 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 8613 7842 51 "Coui"
"5033438" "Shom" 45 "Fmar" 16 "Pcad" 0 0 3 24 0 6 70827 4802 66025 1 -359 24 14 22 111100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 2 0 0 0 52 "Coui"
"5054835" "Shom" 62 "Fdiv" 8 "Pret" 0 0 0 0 29574 0 0 0 0 1 866 0 14 0 0 0 0 0 1 29574 0 0 1 29574 0 0 0 0 0 0 0 1 0 50440 0 0 "Coui"
"7509027" "Shom" 39 "Fmar" 1 "Pcad" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 "Coui"
"7549621" "Shom" 54 "Fmar" 7 "Pcad" 0 0 1 16 0 0 0 0 0 1 159222 16 14 38 95378 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 1 0 23555 0 0 "Coui"
"153976" "Sfem" 40 "Fmar" 195 "Pcad" 0 0 0 29 0 0 0 0 0 1 51724 29 14 8 0 0 1 253915 0 0 0 0 0 0 0 0 0 0 0 0 5 3 1 332200 253915 0 "Coui"
"161022" "Shom" 45 "Fmar" 137 "Part" 0 0 8 206 337611 7 1643458 0 373966 1 119749 17 10 20 0 1269492 1 147796 5 337611 2 12337 3 325274 0 0 0 0 0 0 2 1 0 692564 147796 0 "Coui"
"562218" "Shom" 41 "Fmar" 222 "Pouv" 0 0 0 49 23993 13 79535 23971 55564 1 -12177 49 14 134 389362 0 0 0 2 23993 1 23854 1 139 0 0 0 0 0 0 69 3 0 23993 0 66 "Coui"
"564164" "Shom" 25 "Fcel" 137 "Psan" 0 0 2 8 22983 0 0 0 0 1 -5461 8 10 39 135581 0 0 0 2 22983 1 22793 1 190 0 0 0 0 0 0 19 2 0 122315 90133 85 "Coui"
"584918" "Sfem" 32 "Fcel" 165 "Pemp" 0 0 0 24 402219 0 2041 2041 0 1 -7256 24 10 54 56214 0 1 74263 4 402219 2 401875 2 344 0 0 0 0 0 0 26 2 0 476482 74263 66 "Coui"
"749896" "Shom" 51 "Fcel" 76 "Pint" 0 0 0 30 0 0 0 0 0 2 13694 30 14 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 2 0 54716 0 0 "Coui"
"941523" "Shom" 44 "Fmar" 257 "Pemp" 0 0 0 48 0 0 0 0 0 2 10626 49 10 61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 2 0 34106 0 32 "Coui"
"1050432" "Shom" 51 "Fmar" 862 "Pemp" 0 0 3 42 548 14 311773 0 132206 1 504 42 10 67 0 179567 0 0 1 548 0 0 0 0 1 548 0 0 0 0 19 2 0 38646 50 52 "Coui"
"1340063" "Shom" 52 "Fmar" 303 "Pemp" 0 0 2 31 0 2 5595 5595 0 1 3472 31 10 62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 2 0 26207 9552 25 "Coui"
"1470028" "Sfem" 48 "Fmar" 154 "Pcad" 0 0 28 50 342254 0 0 0 0 1 35423 50 10 45 0 0 3 225979 5 342254 2 106248 1 30547 2 205459 0 0 0 0 NA 0 0 709570 334975 0 "Coui"
"1949917" "Shom" 24 "Fcel" 87 "Pemp" 0 0 4 17 27788 8 49311 567 48744 1 455 2 10 41 0 0 0 0 3 27788 0 0 3 27788 0 0 0 0 0 0 23 2 0 27788 0 14 "Coui"
"1980113" "Shom" 53 "Fmar" 88 "Pemp" 0 0 0 89 0 2 82975 0 82975 1 44851 89 10 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 1 0 55873 0 8 "Coui"
"2040396" "Shom" 45 "Finc" 259 "Pint" 0 0 0 14 3116 0 0 0 0 1 30722 14 10 36 131052 0 0 0 1 3116 0 0 1 3116 0 0 0 0 0 0 28 2 0 35616 0 0 "Coui"
"2245612" "Shom" 57 "Fmar" 170 "Pint" 0 0 1 75 160000 0 44033 44033 0 1 3194 38 10 4 0 0 0 0 2 160000 0 0 2 160000 0 0 0 0 0 0 0 1 0 162000 2000 0 "Coui"
"2550721" "Shom" 52 "Fmar" 196 "Pcad" 0 0 2 44 121467 0 3037 3037 0 1 22536 44 10 77 0 0 0 0 4 121467 2 86733 2 34734 0 0 0 0 0 0 28 3 0 737828 616361 6 "Coui"
"2643348" "Shom" 46 "Fmar" 177 "Pint" 0 0 1 33 18892 0 898 898 0 1 7734 33 10 101 114374 0 1 51845 2 18892 0 0 2 18892 0 0 0 0 0 0 40 4 1 70737 51845 0 "Coui"
"2840169" "Shom" 63 "Fmar" 791 "Part" 0 0 2 297 417078 5 243391 125865 117526 1 58283 148 10 82 147400 0 0 0 4 417078 2 97453 2 319625 0 0 0 0 0 0 34 3 0 468185 51107 5 "Coui"
"3745851" "Sfem" 35 "Fmar" 197 "Pcad" 0 0 8 122 49904 11 727037 0 121985 2 26798 108 10 130 0 605052 0 0 3 49904 2 8731 1 41173 0 0 0 0 0 0 29 1 0 104655 0 4 "Coui"
"4300809" "Sfem" 44 "Fmar" 70 "Part" 0 0 0 0 3204 0 0 0 0 0 0 0 0 0 20500 0 2 837497 3 3204 3 3204 0 0 0 0 0 0 0 0 NA 0 0 844785 840222 0 "Coui"
"5019602" "Shom" 40 "Fdiv" 23 "Pcad" 0 0 1 1 0 59 51718 0 51718 1 388 1 22 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 231 0 0 "Coui"
"5031910" "Shom" 39 "Fmar" 18 "Pcad" 0 0 0 1100 970000 0 0 0 0 0 0 0 0 0 0 0 0 0 1 970000 0 0 1 970000 0 0 0 0 0 0 0 2 0 971158 0 0 "Coui"
"5047362" "Sfem" 64 "Fdiv" 12 "Pret" 0 0 0 13 95365 0 0 0 0 1 8210 13 10 42 0 0 0 0 3 95365 0 0 3 95365 0 0 0 0 0 0 16 1 0 159394 62803 5 "Coui"
"5065847" "Sfem" 42 "Fmar" 5 "Pint" 0 0 0 20 0 23 107678 107678 0 1 6906 20 10 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 11 "Coui"
"5074054" "Shom" 36 "Fmar" 2 "Pcad" 0 0 0 1 1100 0 0 0 0 1 1202 1 48 0 0 0 0 0 1 1100 0 0 1 1100 0 0 0 0 0 0 0 1 0 2913 0 0 "Coui"
"5074279" "Shom" 51 "Fuli" 2 "Pcad" 0 0 2 1 0 0 0 0 0 1 1700 1 10 3 84000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3108 0 0 "Coui"
"5075425" "Shom" 52 "Fmar" 1 "Pcad" 0 0 0 0 0 0 780 780 0 1 -390 0 17 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 6 "Coui"
"5075629" "Shom" 52 "Fmar" 1 "Pcad" 0 0 4 332 0 0 0 0 0 2 82357 332 10 21 121768 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 1 0 350609 0 28 "Coui"
"5076794" "Shom" 33 "Fcel" 1 "Pemp" 0 0 1 0 100 0 0 0 0 1 461 0 20 2 0 0 0 0 1 100 0 0 1 100 0 0 0 0 0 0 0 1 0 1000 0 0 "Coui"
"7508550" "Shom" 54 "Fmar" 141 "Pemp" 0 0 1 46 87724 2 80408 0 80408 1 11797 45 10 84 58706 0 0 0 4 87724 2 5124 2 82600 0 0 0 0 0 0 26 2 0 115048 0 0 "Coui"
"7551721" "Sfem" 58 "Fmar" 5 "Psan" 0 0 1 3 28523 0 0 0 0 1 526 3 10 8 130810 0 0 0 2 28523 0 0 2 28523 0 0 0 0 0 0 0 1 0 38677 0 0 "Coui"
"7564870" "Shom" 31 "Fcel" 1 "Pint" 0 0 1 1 100 0 0 0 0 1 950 1 10 3 24500 0 0 0 1 100 0 0 1 100 0 0 0 0 0 0 0 1 0 1755 0 0 "Coui"
"152046" "Shom" 49 "Fmar" 212 "Part" 0 0 24 52 9120 4 175075 73193 101882 1 -6704 16 11 25 0 0 2 56505 4 9120 2 8809 2 311 0 0 0 0 0 0 19 2 0 65625 56505 84 "Coui"
"154656" "Shom" 41 "Fmar" 189 "Pint" 0 0 1 82 17188 99 325515 0 325515 1 23836 82 11 46 34594 0 2 1886424 1 17188 1 17188 0 0 0 0 0 0 0 0 0 2 1 1945469 1886424 22 "Coui"
